Incidence,Exposure,RR_central,RR_low,RR_high,Conc.change,Counterfact,Unit,Units.multiplier
Asthma.Inci.1to18,NO2,1.26,1.1,1.37,10,2,ppb,0.532
Asthma.Prev.1to18,NO2,1.26,1.1,1.37,10,2,ppb,0.532
exac.0to17,PM2.5,1.025,1.013,1.037,10,6,ug,1
exac.0to17,O3_8h,1.018,1.01,1.024,10,2,ppb,0.5
exac.18to99,PM2.5,1.023,1.015,1.031,10,6,ug,1
exac.18to99,O3_8h,1.018,1.012,1.022,10,2,ppb,1
PTB,PM2.5,1.15,1.07,1.16,10,8.8,ug,1
LBW,PM2.5,1.1,1.03,1.18,10,4,ug,1
COPD_Deaths,O3_8h,1.12,1.08,1.16,10,35,ppb,0.5
COPD_YLLs,O3_8h,1.12,1.08,1.16,10,35,ppb,0.5
NCD.LRI_Deaths,NO2,1.037,1.021,1.08,10,20,ug,1
NCD.LRI_YLLs,NO2,1.037,1.021,1.08,10,20,ug,1
Absences,PM2.5,1.046,1.039,1.053,10,0,ug,1
NCD.LRI_Deaths,SO2,1.02,1.014,1.026,5,0.02,ppb,0.381679389
NCD.LRI_YLLs,SO2,1.02,1.014,1.026,5,0.02,ppb,0.381679389
